Brooklyn,Bronx,Manhattan,Queens,Staten Island,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,Lesbian Gay Bisexual and/or Transgender,Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Other government organization
Y,N,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N
Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N
N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N
N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N
N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
